PLAYER,MY_RANK,TIER,ADP,PCT_DRAFTED,ADP_PREV,YAHOO_RANK,X_RANK,AVOID,NOTE
Shaedon Sharpe,,,114.2,4.0,114.2,146.0,213.0,False,
Shai Gilgeous-Alexander,4,,6.0,100.0,6.1,4.0,4.0,False,
Sharife Cooper,,,,,,406.0,,True,
Simone Fontecchio,,,,,,291.0,283.0,True,
Sion James,,,,,,304.0,294.0,True,
Skal Labissiere,,,,,,556.0,,True,
Spencer Jones,,,,,,319.0,,True,
Stephen Curry,30,,23.8,100.0,23.7,25.0,26.0,False,
Stephon Castle,94,,56.1,99.0,56.1,70.0,77.0,False,
Steven Adams,,,,,,398.0,,True,
Svi Mykhailiuk,,,,,,324.0,,True,
T.J. McConnell,,,93.5,2.0,93.5,247.0,197.0,False,
Tari Eason,140,,,,,158.0,139.0,False,
Taurean Prince,,,,,,340.0,,True,
Taylor Hendricks,,,,,,238.0,244.0,False,
Terance Mann,,,,,,295.0,286.0,True,
Thomas Bryant,,,,,,308.0,,True,
Tidjane Salaun,,,,,,393.0,,True,
Tim Hardaway Jr.,,,,,,184.0,221.0,False,
Tobias Harris,144,,,,,183.0,148.0,False,
Tony Bradley,,,,,,,230.0,True,
Toumani Camara,128,,119.3,84.0,119.4,120.0,101.0,False,
Trae Young,25,,26.6,100.0,26.7,22.0,19.0,False,
Tre Johnson,,,,,,242.0,222.0,True,
Tre Jones,135,,,,,173.0,129.0,False,
Trey Murphy III,41,,35.9,100.0,35.9,30.0,35.0,False,
Tristan Vukcevic,,,,,,342.0,,True,
Tristan da Silva,,,,,,225.0,220.0,True,
Tristen Newton,,,,,,586.0,,True,
Ty Jerome,137,,95.9,99.0,95.8,87.0,133.0,False,
Tyler Burton,,,,,,478.0,,True,
Tyler Herro,62,,61.9,99.0,61.9,58.0,67.0,False,
Tyrese Haliburton,16,,21.9,100.0,22.1,,12.0,False,
Tyrese Maxey,13,,11.0,100.0,11.1,6.0,6.0,False,
Tyson Etienne,,,,,,464.0,,True,
VJ Edgecombe,123,,67.0,99.0,66.9,71.0,79.0,False,
Victor Wembanyama,2,,1.8,100.0,1.8,1.0,1.0,False,
Vince Williams Jr.,,,,,,367.0,,False,
Vit Krejci,,,,,,281.0,274.0,True,
Walker Kessler,24,,29.6,100.0,29.5,26.0,37.0,False,
Walter Clayton Jr.,,,,,,323.0,,True,
Wendell Carter Jr.,,,110.0,93.0,110.0,103.0,141.0,False,
Will Richard,,,,,,297.0,288.0,True,
Will Riley,,,,,,178.0,,True,
Yaxel Lendeborg,,,116.1,30.0,116.1,,124.0,False,
Yves Missi,,,,,,186.0,166.0,True,
Zaccharie Risacher,,,,,,215.0,226.0,True,
Zach Collins,,,,,,423.0,,True,
Zach Edey,121,,70.0,99.0,69.9,62.0,66.0,False,
Zach LaVine,91,,120.4,68.0,120.3,125.0,96.0,False,
Ziaire Williams,,,,,,270.0,265.0,True,
Zion Williamson,118,,69.8,99.0,69.9,72.0,84.0,False,
